1629207872,4.05,4.12
1629207885,4.05,4.12
1629207896,4.04,4.11
1629207907,4.01,4.09
1629207918,4.04,4.12
1629207929,4.01,4.08
1629207940,4.04,4.11
1629207950,4.04,4.11
1629207961,4.04,4.11
1629207972,4.04,4.11
1629207983,4.04,4.11
1629207994,4.04,4.11
1629208005,4.04,4.11
1629208015,4.04,4.11
1629208026,4.03,4.11
1629208037,4.04,4.11
1629208048,4.03,4.11
1629208059,4.04,4.11
1629208070,4.04,4.11
1629208081,3.99,4.07
1629208091,4.03,4.10
1629208102,4.04,4.11
1629208113,4.04,4.11
1629208124,4.04,4.11
1629208135,4.04,4.11
1629208146,4.03,4.11
1629208157,4.03,4.11
1629208167,3.98,4.06
1629208178,4.02,4.10
1629208189,4.03,4.10
1629208200,4.03,4.10
1629208211,4.03,4.10
1629208222,4.03,4.10
1629208233,4.02,4.09
1629208243,4.03,4.10
1629208254,4.02,4.09
1629208265,4.02,4.09
1629208276,4.02,4.10
1629208287,4.02,4.09
1629208298,4.02,4.09
1629208308,4.01,4.09
1629208319,4.01,4.08
1629208330,4.02,4.09
1629208341,4.02,4.09
1629208352,4.02,4.09
1629208363,4.02,4.09
1629208373,4.01,4.08
1629208384,4.01,4.09
1629208395,3.99,4.06
1629208406,3.98,4.07
1629208417,4.01,4.08
1629208428,4.00,4.08
1629208438,4.00,4.08
1629208449,4.01,4.08
1629208460,4.01,4.08
